AQ ID,Network,Category ,Validity (days),Validity Label,Product ,ST Product Name,ST Variant ID
1,Vodacom,Airtime ,365,Annual ,R5 Airtime,Vodacom - R5.00 Airtime Top-up,405
2,Vodacom,Airtime ,365,Annual ,R10 Airtime,Airtime Top-up,2524
3,Vodacom,Airtime ,365,Annual ,R15 Airtime,Airtime Top-up,2637
4,Vodacom,Data,7,Weekly,2.2 GB,Weekly Data,2331
5,Vodacom,Data,30,Monthly,75 MB ,Monthly Data,2314
6,Vodacom,Data,30,Monthly,240 MB,Monthly Data,2320
7,Vodacom,Data,30,Monthly,400 MB ,Monthly Data,2325
8,Vodacom,Data,30,Monthly,600 MB ,Monthly Data,2328
9,Vodacom,Data,30,Monthly,1.2 GB ,Monthly Data,2329
10,Vodacom,Data,30,Monthly,2.5 GB ,Monthly Data,2332
11,Vodacom,Data,30,Monthly,4.5 GB ,Monthly Data,2334
12,Vodacom,Data,30,Monthly,7 GB ,Monthly Data,2336
13,Vodacom,Data,30,Monthly,12 GB ,Monthly Data,2338
14,Vodacom,Data,30,Monthly,18 GB ,Monthly Data,2339
15,Vodacom,Data,30,Monthly,40 GB ,Monthly Data,2340
16,Vodacom,Data,30,Monthly,120 GB ,Monthly Data,2342
17,Vodacom,Voice,3,Daily,100 Mins daily,DayByDay Three Day Voice 100min R29,2318
18,Vodacom,Voice ,30,Monthly,100 Mins daily,DayByDay Thirty Day Voice 100min R299,2335
19,Vodacom,Voice,7,Weekly,60 Mins daily,DayByDay Seven Day Voice,2323
20,Vodacom,Voice,7,Weekly,100 Mins daily,DayByDay Seven Day Voice,2326
21,Vodacom,Social ,30,Monthly,Tiktok 1 GB ,Monthly TikTok,2321
22,Vodacom,Social ,30,Monthly,Whatsapp 1.2 GB ,Monthly WhatsApp 1.2GB R37,2322
24,Vodacom,Social ,30,Monthly,Tiktok 5 GB ,Monthly TikTok,2330
26,Vodacom,SMS ,30,Monthly,50 SMS ,Vodacom - SMS bundle,368
27,Vodacom,SMS ,30,Monthly,100 SMS ,Vodacom - SMS bundle,369
